Serie;Norte;Este;Depto;Municipio;Vereda ;Cia;Estructura
15525;858314,7257;728868,458;VALLE DEL CAUCA;CALI;CASCAJAL;    Azul;19895059
15526;858873,5031;729129,0401;VALLE DEL CAUCA;CALI;CASCAJAL;    Azul;19895058
15527;776103,5971;719058,4079;CAUCA;CAJIBÃO;LA CAPILLA;    Azul;19895219
15528;859395,5113;729372,5521;VALLE DEL CAUCA;CALI;CASCAJAL;    Azul;19895057
15529;859990,2184;729650,0979;VALLE DEL CAUCA;CALI;CASCAJAL;    Azul;19895054
15530;860427,7143;729916,7354;VALLE DEL CAUCA;CALI;EL HORMIGUERO;    Azul;19895053
15531;860828,9482;730161,3967;VALLE DEL CAUCA;CALI;EL HORMIGUERO;    Azul;19895052
15532;861306,824;730452,6081;VALLE DEL CAUCA;CALI;EL HORMIGUERO;    Azul;19895051
15533;861747,5319;730721,5164;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895050
15534;862191,3426;730992,0284;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895049
15535;862673,3616;731286,0734;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895048
15536;776892,8333;719014,0248;CAUCA;CAJIBÃO;LA CAPILLA;    Azul;19895218
15538;864569,1834;731543,9026;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895047
15540;864558,8645;732037,3515;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895046
15542;864466,2999;732308,8889;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895045
15543;864445,0557;732366,6483;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895044
15544;768975,2309;719929,6259;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895235
15545;777595,1697;718981,2226;CAUCA;CAJIBÃO;LA CAPILLA;    Azul;19895217
15546;778174,3779;719008,1884;CAUCA;CAJIBÃO;LA CAPILLA;    Azul;19895216
15547;778566,8745;719029,2314;CAUCA;CAJIBÃO;LA CAPILLA;    Azul;19895215
15548;779157,9747;719053,7753;CAUCA;CAJIBÃO;LA VENTA;    Azul;19895214
15549;779634,8214;719075,4247;CAUCA;CAJIBÃO;LA VENTA;    Azul;19895213
15550;780140,4561;719097,854;CAUCA;CAJIBÃO;LA VENTA;    Azul;19895212
15551;780767,8558;719133,8572;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895211
15552;781250,9934;719150,0261;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895210
15553;781905,7018;719185,071;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895209
15554;782291,0902;719202,6777;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895208
15555;769453,0619;719797,1285;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895234
15556;782970,8724;719232,7562;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895207
15557;783688,9357;719244,6484;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895206
15558;784249,0889;719252,0895;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895205
15559;784688,0777;719254,5139;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895204
15560;785229,617;719236,3188;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895203
15561;785401,8921;719232,0259;CAUCA;CAJIBÃO;CAJIBIO;    Azul;19895202
15562;786850,5938;719187,4816;CAUCA;PIENDAMÃ“;ONCE DE NOVIEMBRE;    Azul;19895201
15563;787097,49;719172,6082;CAUCA;PIENDAMÃ“;ONCE DE NOVIEMBRE;    Azul;19895200
15564;787676,3024;719235,9771;CAUCA;PIENDAMÃ“;ONCE DE NOVIEMBRE;    Azul;19895199
15565;788389,19;719318,1447;CAUCA;PIENDAMÃ“;EL CARMEN;    Azul;19895198
15566;769966,4172;719665,4074;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895233
15567;788613,4624;719338,4071;CAUCA;PIENDAMÃ“;EL CARMEN;    Azul;19895197
15568;789149,4632;719393,3345;CAUCA;PIENDAMÃ“;EL AGRADO;    Azul;19895196
15569;789586,6005;719431,7339;CAUCA;PIENDAMÃ“;EL AGRADO;    Azul;19895195
15570;790215,1666;719491,3645;CAUCA;PIENDAMÃ“;CORRALES;    Azul;19895194
15571;790640,8437;719531,677;CAUCA;PIENDAMÃ“;CORRALES;    Azul;19895193
15572;791265,7916;719591,375;CAUCA;PIENDAMÃ“;VALPARAISO;    Azul;19895192
15573;791801,8185;719663,9157;CAUCA;MORALES;VALPARAISO;    Azul;19895191
15574;792644,8942;719777,5207;CAUCA;MORALES;MATA REDONDA;    Azul;19895190
15575;793096,0875;719838,7307;CAUCA;MORALES;MATA REDONDA;    Azul;19895189
15576;793706,1184;719912,4577;CAUCA;MORALES;MATA REDONDA;    Azul;19895188
15577;770466,1049;719537,3135;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895232
15578;794164,5091;719984,0301;CAUCA;MORALES;MATA REDONDA;    Azul;19895187
15579;794599,0056;720039,3344;CAUCA;MORALES;MATA RREDONDA;    Azul;19895186
15580;795152,9957;720108,9952;CAUCA;MORALES;MATA RREDONDA;    Azul;19895185
15581;795560,926;720146,0699;CAUCA;MORALES;MATA RREDONDA;    Azul;19895184
15582;795868,2499;720197,3126;CAUCA;MORALES;MATA RREDONDA;    Azul;19895183
15583;796417,1329;720246,8934;CAUCA;MORALES;MATA RREDONDA;    Azul;19895182
15584;796847,5429;720298,1094;CAUCA;MORALES;MATA RREDONDA;    Azul;19895181
15585;797221,5588;720340,5707;CAUCA;MORALES;SAN ANTONIO;    Azul;19895180
15586;797449,9948;720366,9958;CAUCA;MORALES;SAN ANTONIO;    Azul;19895179
15587;797781,7276;720414,4572;CAUCA;MORALES;SAN ANTONIO;    Azul;19895178
15588;771035,6128;719384,3124;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895231
15589;798540,0969;720486,7453;CAUCA;PIENDAMÃ“;LOS PINOS;    Azul;19895177
15590;799060,8761;720536,3012;CAUCA;PIENDAMÃ“;LOS PINOS;    Azul;19895176
15591;799371,0531;720587,1175;CAUCA;PIENDAMÃ“;LOS PINOS;    Azul;19895175
15592;799883,9051;720642,3534;CAUCA;PIENDAMÃ“;LOS PINOS;    Azul;19895174
15593;800519,0789;720643,0685;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895173
15594;800796,0235;720650,0224;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895172
15595;801390,6208;720653,8466;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895171
15596;801732,103;720655,2262;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895170
15597;802254,0886;720658,5983;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895169
15598;802517,3043;720662,6213;CAUCA;PIENDAMÃ“;MATECAÃ‘A;    Azul;19895168
15599;771312,3819;719307,0382;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895230
15600;803017,5712;720669,9329;CAUCA;PIENDAMÃ“;CAÃ‘A DULCE;    Azul;19895167
15601;803370,5961;720649,6117;CAUCA;PIENDAMÃ“;CAÃ‘A DULCE;    Azul;19895166
15602;804039,5683;720671,6495;CAUCA;PIENDAMÃ“;CAÃ‘A DULCE;    Azul;19895165
15603;804712,4886;720686,314;CAUCA;PIENDAMÃ“;SALINAS;    Azul;19895164
15604;805369,1537;720703,1041;CAUCA;PIENDAMÃ“;SALINAS;    Azul;19895163
15605;805624,2341;720695,9059;CAUCA;PIENDAMÃ“;SALINAS;    Azul;19895226
15606;806971,2645;720740,2674;CAUCA;CALDONO;SOCORRO;    Azul;19895162
15607;807335,9171;720781,122;CAUCA;CALDONO;SOCORRO;    Azul;19895161
15608;807946,2536;720841,6662;CAUCA;CALDONO;SOCORRO;    Azul;19895160
15609;809242,5486;720873,6337;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19895159
15610;810232,3063;720741,0438;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19884880
15611;810519,075;720701,0813;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19895158
15612;771687,2555;719281,8468;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895229
15613;810959,2292;720691,9042;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19895157
15614;811596,7208;720675,6667;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19895156
15615;811863,35;720675,2709;CAUCA;SANTANDER DE QUILICHAO;SAN ISIDRO;    Azul;19895155
15616;812156,5417;720667,8229;CAUCA;SANTANDER DE QUILICHAO;LA CHAPA;    Azul;19895154
15617;812431,7292;720662,6615;CAUCA;BUENOS AIRES;SANTA ANA;    Azul;19895153
15618;812830,1563;720635,7125;CAUCA;BUENOS AIRES;SANTA ANA;    Azul;19884879
15619;813381,134;720599,0205;CAUCA;BUENOS AIRES;SANTA ANA;    Azul;19895152
15620;813968,1823;720559,625;CAUCA;BUENOS AIRES;SANTA ANA;    Azul;19895151
15621;815222,027;720472,0958;CAUCA;BUENOS AIRES;LAS DELICIAS;    Azul;19895150
15622;815658,8723;720443,823;CAUCA;BUENOS AIRES;SANTA ANA;    Azul;19895149
15623;816246,0404;720404,9616;CAUCA;BUENOS AIRES;LAS DELICIAS;    Azul;19895148
15624;772196,1059;719255,2843;CAUCA;POPAYÃN;LA REJOYA;    Azul;19895228
15625;816633,9394;720382,9461;CAUCA;BUENOS AIRES;LAS DELICIAS;    Azul;19895147
15626;817392,5205;720330,1736;CAUCA;BUENOS AIRES;LAS DELICIAS;    Azul;19895146
15627;818039,6602;720282,0076;CAUCA;BUENOS AIRES;MIRASOL;    Azul;19895145
15628;818570,3409;720252,4351;CAUCA;BUENOS AIRES;MIRASOL;    Azul;19895144
15629;819034,7375;720222,7208;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19895143
15630;819619,9153;720166,4361;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19895142
15631;819924,3276;720135,4026;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19884878
15632;820661,6995;720066,0852;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19895141
15633;820982,0412;720033,1803;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19895140
15634;821709,2359;719958,4119;CAUCA;SANTANDER DE QUILICHAO;SAN FRANCISCO;    Azul;19895139
15635;822247,1627;719908,6119;CAUCA;BUENOS AIRES;MIRASOL;    Azul;19895138
17439;864879,5504;732424,4473;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895046
17439;864879,5504;732424,4473;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895045
17439;864879,5504;732424,4473;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895044
17439;864879,5504;732424,4473;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895043
17423;865325,355;732480,0121;VALLE DEL CAUCA;CALI;VALLE DEL LILI;    Azul;19895042
17424;865748,0265;732537,7631;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895041
17425;866197,6632;732598,8897;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895040
17426;866685,1276;732662,2109;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895039
17435;867183,2042;732727,9708;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895038
17436;867651,1418;732792,7208;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895037
17427;868014,8067;732998,4769;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895036
17428;868442,2081;733241,3665;VALLE DEL CAUCA;CALI;NAVARRO;    Azul;19895035
17429;868864,5656;733484,3094;VALLE DEL CAUCA;CALI;;    Azul;19895034
17430;869345,5937;733757,0188;VALLE DEL CAUCA;CALI;;    Azul;19895033
17431;869862,1227;734049,417;VALLE DEL CAUCA;CALI;;    Azul;19895032
17432;870364,0313;734335,4064;VALLE DEL CAUCA;CALI;;    Azul;19895031
17433;870677,9197;734511,9075;VALLE DEL CAUCA;CALI;;    Azul;19895030
17434;870874,8227;734485,4476;VALLE DEL CAUCA;CALI;;    Azul;19895029
17480;871128,7761;734349,058;VALLE DEL CAUCA;CALI;;    Azul;19895028
17479;871254,3363;734248,3673;VALLE DEL CAUCA;CALI;;    Azul;19895027
17478;871353,7743;734175,789;VALLE DEL CAUCA;CALI;;    Azul;19895026
17477;871821,7551;734286,4403;VALLE DEL CAUCA;CALI;;    Azul;19895025
17476;872239,4807;734481,88;VALLE DEL CAUCA;CALI;;    Azul;19895024
17475;872677,9017;734686,6105;VALLE DEL CAUCA;CANDELARIA;JUANCHITO;    Azul;19895023
17474;872912,4073;734699,0658;VALLE DEL CAUCA;CANDELARIA;JUANCHITO;    Azul;19895022
17473;873428,8196;734562,4949;VALLE DEL CAUCA;CANDELARIA;JUANCHITO;    Azul;19895021
17472;873826,7326;734457,131;VALLE DEL CAUCA;CANDELARIA;JUANCHITO;    Azul;19895020
17471;874185,7126;734362,1231;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895019
17470;874635,5641;734242,9852;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895018
17469;875155,5035;734105,6857;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895016
17468;875668,5044;734108,8949;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895015
17467;876083,8565;734111,304;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895014
17466;876617,845;734114,7279;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895013
17465;877083,0426;734117,6021;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895012
17464;877548,8971;734120,362;VALLE DEL CAUCA;PALMIRA;JUANCHITO;    Azul;19895011
17463;877966,4039;734122,7534;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895010
17462;878379,5245;734125,3414;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19866508
17461;878870,8586;734128,2207;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895008
17460;879287,8345;734130,7511;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895007
17459;879656,5139;733971,34;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895006
17458;880027,679;733810,7868;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895005
17457;880380,4644;733658,1942;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895004
17456;880756,4532;733495,5045;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895003
17455;881168,652;733317,2692;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895002
17454;881644,4547;733111,1194;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895001
17438;882100,1003;732913,9516;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19895000
17452;882530,1165;732762,2095;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19894999
17451;882916,7178;732625,5773;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19894998
17450;883345,3561;732474,4017;VALLE DEL CAUCA;PALMIRA;CAUCASECO;    Azul;19894997
17449;883582,7633;732390,0553;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894996
17448;884060,5248;732220,5654;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894995
17447;884389,7339;732103,8412;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894994
17446;884869,9456;731933,147;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894993
17445;885128,5321;731841,558;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894992
17444;885228,1264;731576,7948;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894991
17443;885347,9229;731254,8025;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894990
17442;885460,2805;730971,3651;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894989
17441;885519,2141;730822,468;VALLE DEL CAUCA;YUMBO;ARROYOHONDO;    Azul;19894988
17440;885645,682;730783,885;VALLE DEL CAUCA;YUMBO;;    Azul;19894987
24077; ; ;VALLE DEL CAUCA;YUMBO;;    Azul;19871571
15179;1028500;803356,3125;RISARALDA;PEREIRA;CAIMALITO;    Azul;19878400
15238;1028971,889;807696,452;RISARALDA;PEREIRA;CAIMALITO;    Azul;19878391
15239;1029158,702;808679,0497;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878390
15240;1029243,473;809119,2984;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878389
15241;1029306,086;809449,3972;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878388
15242;1029471,764;810054,9734;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878387
15243;1029607,644;810608,7676;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878386
15244;1029698,445;810913,7804;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878385
15245;1029770,162;811079,8689;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878384
15246;1029958,497;811487,8015;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878383
15247;1030192,408;811910,5457;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878382
15180;1028745,556;803756,7881;RISARALDA;PEREIRA;CAIMALITO;    Azul;19878399
15248;1030534,216;812622,4373;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878381
15249;1030841,775;813243,0885;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878380
15250;1031165,815;813913,7067;RISARALDA;PEREIRA;COMBIA  ALTA;    Azul;19878379
15251;1031324,585;814248,8695;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878378
15252;1031574,069;814510,1355;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878377
15253;1031769,166;814798,2437;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878376
15254;1032167,79;815367,274;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878375
15255;1032522,302;815789,14;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878374
15256;1032650,96;815943,421;RISARALDA;PEREIRA;COMBIA BAJA;    Azul;19878373
15257;1032704,431;816028,0569;RISARALDA;MARSELLA;EL ZURRUMBO;    Azul;19878372
15181;1028933,859;804069,015;RISARALDA;PEREIRA;CAIMALITO;    Azul;19878398
15258;1032840,487;816233,4575;RISARALDA;MARSELLA;EL ZURRUMBO;    Azul;19878371
15259;1033353,037;816985,2174;RISARALDA;MARSELLA;EL ZURRUMBO;    Azul;19878370
15260;1033720,047;817598,1115;RISARALDA;MARSELLA;EL RAYO;    Azul;19878369
15261;1033908,734;818307,0174;RISARALDA;MARSELLA;EL RAYO;    Azul;19878368
15262;1034000,53;818635,272;RISARALDA;MARSELLA;EL RAYO;    Azul;19878367
15263;1034294,771;819713,6472;RISARALDA;MARSELLA;SAN ANDRES;    Azul;19878366
15264;1034194,31;820300,548;RISARALDA;MARSELLA;SAN ANDRES;    Azul;19878365
15265;1034125,111;820652,7469;RISARALDA;MARSELLA;MIRACAMPO;    Azul;19878364
